,labels,predicted_labels,tokens
0,-100,0,[CLS]
1,0,0,new
2,0,0,_
3,0,0,te
4,0,0,##xt
5,0,0,""""
6,0,0,Barry
7,0,0,Clark
8,0,0,Bar
9,0,0,##ish
10,0,0,(
11,0,0,*
12,1,0,27
13,1,0,.
14,2,0,Januar
15,0,0,1936
16,0,0,in
17,0,0,Oma
18,0,0,##ha
19,0,0,","
20,0,0,Neb
21,0,0,##ras
22,0,0,##ka
23,0,0,)
24,0,0,ist
25,0,0,ein
26,0,0,US
27,0,0,-
28,0,0,amerikanischer
29,0,0,Physiker
30,0,0,.
31,0,0,2017
32,0,0,wurde
33,0,0,ihm
34,0,0,gemeinsam
35,0,0,mit
36,0,0,Rainer
37,0,0,Weiss
38,0,0,und
39,0,0,Ki
40,0,0,##p
41,0,0,Thor
42,0,2,##ne
43,0,0,der
44,0,0,Nobel
45,0,0,##preis
46,0,0,für
47,0,0,Physik
48,0,0,für
49,0,0,entscheidende
50,0,0,Beiträge
51,0,0,zum
52,0,0,L
53,0,0,##IG
54,0,0,##O
55,0,0,-
56,0,0,Dete
57,0,0,##ktor
58,0,0,und
59,0,0,die
60,0,0,Beobachtung
61,0,0,von
62,0,0,Gra
63,0,0,##vit
64,0,0,##ations
65,0,0,##wellen
66,0,0,zu
67,0,0,##erk
68,0,0,##annt
69,0,0,.
70,0,0,[
71,0,0,1
72,0,0,]
73,0,0,""""
74,0,0,""""
75,0,0,Bar
76,0,0,##ish
77,0,0,besuchte
78,0,0,die
79,0,0,Schule
80,0,0,in
81,0,0,Los
82,0,0,Angeles
83,0,0,und
84,0,0,studierte
85,0,0,Physik
86,0,0,an
87,0,0,der
88,0,0,University
89,0,0,of
90,0,0,California
91,0,0,","
92,0,0,Ber
93,0,0,##kel
94,0,0,##ey
95,0,0,","
96,0,0,mit
97,0,0,dem
98,0,0,Bachelor
99,0,0,-
100,0,0,Abschluss
101,0,0,1957
102,0,0,und
103,0,0,der
104,0,0,Promotion
105,0,0,in
106,0,0,experimente
107,0,0,##ller
108,0,0,Hoch
109,0,0,##energie
110,0,0,##physik
111,0,0,1962
112,0,0,.
113,0,0,Ab
114,0,0,1962
115,0,0,war
116,0,0,er
117,0,0,am
118,0,0,Cal
119,0,0,##tech
120,0,0,","
121,0,0,wo
122,0,0,er
123,0,0,1966
124,0,0,Ass
125,0,0,##istan
126,0,0,##t
127,0,0,Professor
128,0,0,","
129,0,0,1969
130,0,0,Assoc
131,0,0,##iat
132,0,0,##e
133,0,0,Professor
134,0,0,und
135,0,0,1972
136,0,0,Professor
137,0,0,wurde
138,0,0,.
139,0,0,1991
140,0,0,wurde
141,0,0,er
142,0,0,Max
143,0,0,##ine
144,0,0,and
145,0,0,Ronald
146,0,0,Lind
147,0,0,##e
148,0,0,Professor
149,0,0,.
150,0,0,2005
151,0,0,wurde
152,0,0,er
153,0,0,Professor
154,0,0,Emer
155,0,0,##itus
156,0,0,.
157,0,0,""""
158,0,0,""""
159,0,0,Ab
160,0,0,1963
161,0,0,und
162,0,0,in
163,0,0,den
164,0,0,1970
165,0,0,##er
166,0,0,Jahren
167,0,0,war
168,0,0,er
169,0,0,am
170,0,0,Fer
171,0,0,##mil
172,0,0,##ab
173,0,0,an
174,0,0,Hoch
175,0,0,##energie
176,0,0,-
177,0,0,Neut
178,0,0,##rin
179,0,0,##o
180,0,0,-
181,0,0,Experimente
182,0,0,##n
183,0,0,beteiligt
184,0,0,","
185,0,0,die
186,0,0,zu
187,0,0,den
188,0,0,ersten
189,0,0,Experimente
190,0,0,##n
191,0,0,gehörten
192,0,0,","
193,0,0,bei
194,0,0,denen
195,0,0,neutr
196,0,0,##ale
197,0,0,schwache
198,0,0,Ström
199,0,0,##e
200,0,0,der
201,0,0,elektr
202,0,0,##osc
203,0,0,##hw
204,0,0,##achen
205,0,0,Wechsel
206,0,0,##wirkung
207,0,0,nachgewiesen
208,0,0,wurden
209,0,0,.
210,0,0,Auch
211,0,0,frühe
212,0,0,Hinweise
213,0,0,auf
214,0,0,die
215,0,0,Quar
216,0,0,##ks
217,0,0,##tr
218,0,0,##uk
219,0,0,##tur
220,0,0,der
221,0,0,Nukle
222,0,0,##onen
223,0,0,wurde
224,0,0,in
225,0,0,diesen
226,0,0,Experimente
