,labels,predicted_labels,tokens
0,-100,0,[CLS]
1,0,0,new
2,0,0,_
3,0,0,te
4,0,0,##xt
5,0,0,""""
6,0,0,Albert
7,0,0,Einst
8,0,0,##ein
9,0,0,(
10,0,0,*
11,1,0,14
12,1,0,.
13,2,0,März
14,0,0,1879
15,0,0,in
16,0,0,Ulm
17,0,0,","
18,0,0,Königreich
19,0,0,Württemberg
20,0,0,;
21,0,0,†
22,0,0,18
23,0,0,.
24,0,0,April
25,0,0,1955
26,0,0,in
27,0,0,Prince
28,0,0,##ton
29,0,0,","
30,0,0,New
31,0,0,Jersey
32,0,0,)
33,0,0,war
34,0,0,ein
35,0,0,gebürtige
36,0,0,##r
37,0,0,deutscher
38,0,0,Physiker
39,0,0,mit
40,0,0,Schweizer
41,0,0,und
42,0,0,US
43,0,0,-
44,0,0,amerikanischer
45,0,0,Staatsbürger
46,0,0,##schaft
47,0,0,.
48,0,0,Er
49,0,0,gilt
50,0,0,als
51,0,0,einer
52,0,0,der
53,0,0,bedeutendsten
54,0,0,Theo
55,0,0,##ret
56,0,0,##ischen
57,0,0,Physiker
58,0,0,der
59,0,0,Wissenschafts
60,0,0,##geschichte
61,0,0,[
62,0,0,1
63,0,0,]
64,0,0,und
65,0,0,weltweit
66,0,0,als
67,0,0,einer
68,0,0,der
69,0,0,bekanntesten
70,0,0,Wissenschaftler
71,0,0,der
72,0,0,Neuzeit
73,0,0,.
74,0,0,[
75,0,0,2
76,0,0,]
77,0,0,Seine
78,0,0,Forschungen
79,0,0,zur
80,0,0,Struktur
81,0,0,von
82,0,0,Materie
83,0,0,","
84,0,0,Raum
85,0,0,und
86,0,0,Zeit
87,0,0,sowie
88,0,0,zum
89,0,0,Wesen
90,0,0,der
91,0,0,Gra
92,0,0,##vit
93,0,0,##ation
94,0,0,veränderten
95,0,0,maßgeblich
96,0,0,das
97,0,0,zuvor
98,0,0,geltend
99,0,0,##e
100,0,0,new
101,0,0,##ton
102,0,0,##sche
103,0,0,Welt
104,0,0,##bild
105,0,0,.
106,0,0,""""
107,0,0,""""
108,0,0,Einst
109,0,0,##eins
110,0,0,Haupt
111,0,0,##werk
112,0,0,","
113,0,0,die
114,0,0,Rel
115,0,0,##ativ
116,0,0,##itäts
117,0,0,##theorie
118,0,0,","
119,0,0,machte
120,0,0,ihn
121,0,0,welt
122,0,0,##ber
123,0,0,##ühmt
124,0,0,.
125,0,0,Im
126,0,0,Jahr
127,0,0,1905
128,0,0,erschien
129,0,0,seine
130,0,0,Arbeit
131,0,0,mit
132,0,0,dem
133,0,0,Titel
134,0,0,Zur
135,0,0,Elektro
136,0,0,##dy
137,0,0,##nam
138,0,0,##ik
139,0,0,bewegt
140,0,0,##er
141,0,0,Körper
142,0,0,","
143,0,0,deren
144,0,0,Inhalt
145,0,0,heute
146,0,0,als
147,0,0,Spezie
148,0,0,##lle
149,0,0,Rel
150,0,0,##ativ
151,0,0,##itäts
152,0,0,##theorie
153,0,0,bezeichnet
154,0,0,wird
155,0,0,.
156,0,0,1915
157,0,0,publizierte
158,0,0,er
159,0,0,die
160,0,0,Allgemeine
161,0,0,Rel
162,0,0,##ativ
163,0,0,##itäts
164,0,0,##theorie
165,0,0,.
166,0,0,Auch
167,0,0,zur
168,0,0,Quanten
169,0,0,##physik
170,0,0,leistete
171,0,0,er
172,0,0,wesentliche
173,0,0,Beiträge
174,0,0,.
175,0,0,„
176,0,0,Für
177,0,0,seine
178,0,0,Verdienste
179,0,0,um
180,0,0,die
181,0,0,Theo
182,0,0,##ret
183,0,0,##ische
184,0,0,Physik
185,0,0,","
186,0,0,besonders
187,0,0,für
188,0,0,seine
189,0,0,Entdeckung
190,0,0,des
191,0,0,Gesetzes
192,0,0,des
193,0,0,ph
194,0,0,##oto
195,0,0,##elekt
196,0,0,##rischen
197,0,0,Effekt
198,0,0,##s
199,0,0,“
200,0,0,","
201,0,0,erhielt
202,0,0,er
203,0,0,den
204,0,0,Nobel
205,0,0,##preis
206,0,0,des
207,0,0,Jahres
208,0,0,1921
209,0,0,","
210,0,0,der
211,0,0,ihm
212,0,0,1922
213,0,0,über
214,0,0,##reicht
215,0,0,wurde
216,0,0,.
217,0,0,Seine
218,0,0,theoretischen
219,0,0,Arbeiten
