,labels,predicted_labels,tokens
0,-100,0,[CLS]
1,0,0,new
2,0,0,_
3,0,0,te
4,0,0,##xt
5,0,0,A
6,0,0,##age
7,0,0,Nie
8,0,0,##ls
9,0,0,Bohr
10,0,0,(
11,0,0,*
12,1,0,19
13,1,0,.
14,2,0,Juni
15,0,0,1922
16,0,0,in
17,0,0,Kopenhagen
18,0,0,;
19,0,0,†
20,0,0,8
21,0,0,.
22,0,0,September
23,0,0,2009
24,0,0,ebenda
25,0,0,)
26,0,0,war
27,0,0,ein
28,0,0,dänische
29,0,0,##r
30,0,0,Physiker
31,0,0,und
32,0,0,Nobel
33,0,0,##preis
34,0,0,##träger
35,0,0,der
36,0,0,Universität
37,0,0,Kopenhagen
38,0,0,.
39,0,0,""""
40,0,0,A
41,0,0,##age
42,0,0,Bohr
43,0,0,war
44,0,0,der
45,0,0,Sohn
46,0,0,von
47,0,0,Nie
48,0,0,##ls
49,0,0,Bohr
50,0,0,","
51,0,0,den
52,0,0,er
53,0,0,noch
54,0,0,als
55,0,0,Student
56,0,0,im
57,0,0,Oktober
58,0,0,1943
59,0,0,ins
60,0,0,Exil
61,0,0,nach
62,0,0,Amerika
63,0,0,und
64,0,0,England
65,0,0,als
66,0,0,Sekretär
67,0,0,und
68,0,0,Assistent
69,0,0,begleitete
70,0,0,.
71,0,0,1946
72,0,0,erhielt
73,0,0,er
74,0,0,sein
75,0,0,Diplom
76,0,0,in
77,0,0,Kopenhagen
78,0,0,.
79,0,0,1948
80,0,0,war
81,0,0,er
82,0,0,am
83,0,0,Institute
84,0,0,for
85,0,0,Ad
86,0,0,##vanced
87,0,0,Stud
88,0,0,##y
89,0,0,in
90,0,0,Prince
91,0,0,##ton
92,0,0,und
93,0,0,danach
94,0,0,bis
95,0,0,1950
96,0,0,an
97,0,0,der
98,0,0,Columbia
99,0,0,University
100,0,0,auf
101,0,0,Einladung
102,0,0,von
103,0,0,Is
104,0,0,##ido
105,0,0,##r
106,0,0,Isa
107,0,0,##ac
108,0,0,Rab
109,0,0,##i
110,0,0,","
111,0,0,der
112,0,0,die
113,0,0,Hyper
114,0,0,##fe
115,0,0,##inst
116,0,0,##ruktur
117,0,0,des
118,0,0,De
119,0,0,##uter
120,0,0,##iums
121,0,0,untersuchte
122,0,0,.
123,0,0,Dabei
124,0,0,wurden
125,0,0,Quad
126,0,0,##rup
127,0,0,##ol
128,0,0,##mo
129,0,0,##mente
130,0,0,des
131,0,0,Kern
132,0,0,##s
133,0,0,gemessen
134,0,0,","
135,0,0,die
136,0,0,sehr
137,0,0,viel
138,0,0,höher
139,0,0,als
140,0,0,die
141,0,0,möglichen
142,0,0,Eint
143,0,0,##eil
144,0,0,##chen
145,0,0,##werte
146,0,0,waren
147,0,0,und
148,0,0,auf
149,0,0,kolle
150,0,0,##ktive
151,0,0,Anregungen
152,0,0,deutet
153,0,0,##en
154,0,0,.
155,0,0,Durch
156,0,0,experimente
157,0,0,##lle
158,0,0,Fortschritte
159,0,0,konnten
160,0,0,dann
161,0,0,um
162,0,0,1953
163,0,0,Rot
164,0,0,##ations
165,0,0,##band
166,0,0,##en
167,0,0,direkt
168,0,0,in
169,0,0,Kern
170,0,0,##spekt
171,0,0,##ren
172,0,0,entdeckt
173,0,0,werden
174,0,0,und
175,0,0,Über
176,0,0,##gänge
177,0,0,zwischen
178,0,0,Rot
179,0,0,##ations
180,0,0,##an
181,0,0,##regungen
182,0,0,direkt
183,0,0,durch
184,0,0,Co
185,0,0,##ulo
186,0,0,##mb
187,0,0,##an
188,0,0,##regung
189,0,0,erzeugt
190,0,0,werden
191,0,0,","
192,0,0,was
193,0,0,eine
194,0,0,Fülle
195,0,0,neuen
196,0,0,Materials
197,0,0,für
198,0,0,das
199,0,0,Studium
200,0,0,kolle
201,0,0,##ktiver
202,0,0,Anregungen
203,0,0,lieferte
204,0,0,.
205,0,0,1956
206,0,0,–
207,0,0,1992
208,0,0,war
209,0,0,er
210,0,0,Professor
211,0,0,an
212,0,0,der
213,0,0,Universität
214,0,0,Kopenhagen
215,0,0,","
216,0,0,nach
217,0,0,dem
218,0,0,Tod
219,0,0,seines
220,0,0,Vaters
221,0,0,Nie
222,0,0,##ls
223,0,0,Bohr
224,0,0,wurde
225,0,0,er
